"","calls.Strike","calls.Last","calls.Chg","calls.Bid","calls.Ask","calls.Vol","calls.OI","calls.LastTradeTime","calls.IV","calls.ITM","puts.Strike","puts.Last","puts.Chg","puts.Bid","puts.Ask","puts.Vol","puts.OI","puts.LastTradeTime","puts.IV","puts.ITM"
"GME210326C00047500",47.5,123.6,0,0,0,31,30,2021-03-25 13:00:01,1e-05,TRUE,47.5,0.02,0,0,0,120,103,2021-03-25 15:57:04,0.500005,FALSE
"GME210326C00048000",48,131.84,0,0,0,34,10,2021-03-25 15:36:16,1e-05,TRUE,48,0.02,0,0,0,61,208,2021-03-25 15:03:31,0.500005,FALSE
"GME210326C00048500",48.5,126.65,0,0,0,11,3,2021-03-25 13:14:11,1e-05,TRUE,48.5,0.01,0,0,0,136,162,2021-03-25 15:31:53,0.500005,FALSE
"GME210326C00049000",49,117.4,0,0,0,18,67,2021-03-25 14:37:16,1e-05,TRUE,49,0.02,0,0,0,63,222,2021-03-25 15:01:57,0.500005,FALSE
"GME210326C00050000",50,120.15,0,0,0,77,190,2021-03-25 14:46:08,1e-05,TRUE,50,0.02,0,0,0,8130,10561,2021-03-25 15:57:43,0.500005,FALSE
"GME210326C00051000",51,126.35,0,0,0,15,55,2021-03-25 15:15:09,1e-05,TRUE,51,0.02,0,0,0,326,469,2021-03-25 15:21:28,0.500005,FALSE
"GME210326C00051500",51.5,106.25,0,0,0,5,6,2021-03-24 11:31:12,1e-05,TRUE,51.5,0.03,0,0,0,81,189,2021-03-25 15:57:21,0.500005,FALSE
"GME210326C00052000",52,129.3,0,0,0,7,53,2021-03-25 14:52:43,1e-05,TRUE,52,0.05,0,0,0,165,196,2021-03-25 15:42:45,0.500005,FALSE
"GME210326C00052500",52.5,121.05,0,0,0,19,5,2021-03-25 14:52:43,1e-05,TRUE,52.5,0.04,0,0,0,38,265,2021-03-25 13:59:46,0.500005,FALSE
"GME210326C00053000",53,115.5,0,0,0,34,12,2021-03-25 13:39:36,1e-05,TRUE,53,0.03,0,0,0,208,275,2021-03-25 15:10:28,0.500005,FALSE
"GME210326C00053500",53.5,129.95,0,0,0,10,54,2021-03-25 15:00:21,1e-05,TRUE,53.5,0.03,0,0,0,89,152,2021-03-25 12:34:32,0.500005,FALSE
"GME210326C00054000",54,125.1,0,0,0,25,93,2021-03-25 15:31:41,1e-05,TRUE,54,0.03,0,0,0,183,278,2021-03-25 13:46:17,0.500005,FALSE
"GME210326C00055000",55,129,0,0,0,86,387,2021-03-25 15:32:27,1e-05,TRUE,55,0.04,0,0,0,427,1161,2021-03-25 15:38:48,0.500005,FALSE
"GME210326C00056000",56,119.6,0,0,0,25,52,2021-03-25 15:12:30,1e-05,TRUE,56,0.03,0,0,0,136,179,2021-03-25 15:33:32,0.500005,FALSE
"GME210326C00056500",56.5,122.05,0,0,0,7,9,2021-03-25 12:30:43,1e-05,TRUE,56.5,0.04,0,0,0,245,1028,2021-03-25 15:56:39,0.500005,FALSE
"GME210326C00057000",57,129.75,0,0,0,23,16,2021-03-25 15:00:21,1e-05,TRUE,57,0.05,0,0,0,161,199,2021-03-25 15:32:08,0.500005,FALSE
"GME210326C00057500",57.5,108.55,0,0,0,17,8,2021-03-25 13:45:32,1e-05,TRUE,57.5,0.04,0,0,0,10,92,2021-03-25 13:31:51,0.500005,FALSE
"GME210326C00058000",58,112.45,0,0,0,19,12,2021-03-25 13:12:16,1e-05,TRUE,58,0.05,0,0,0,176,140,2021-03-25 15:43:11,0.500005,FALSE
"GME210326C00058500",58.5,112.15,0,0,0,21,18,2021-03-25 13:17:54,1e-05,TRUE,58.5,0.07,0,0,0,9,50,2021-03-25 13:17:07,0.500005,FALSE
"GME210326C00059000",59,119.85,0,0,0,34,17,2021-03-25 15:38:46,1e-05,TRUE,59,0.05,0,0,0,282,222,2021-03-25 13:54:36,0.500005,FALSE
"GME210326C00060000",60,123.4,0,0,0,45,464,2021-03-25 15:53:01,1e-05,TRUE,60,0.05,0,0,0,1505,2977,2021-03-25 15:56:42,0.500005,FALSE
"GME210326C00061000",61,119.4,0,0,0,24,9,2021-03-25 15:17:26,1e-05,TRUE,61,0.05,0,0,0,112,120,2021-03-25 15:25:17,0.500005,FALSE
"GME210326C00061500",61.5,117.2,0,0,0,33,24,2021-03-25 15:15:33,1e-05,TRUE,61.5,0.06,0,0,0,156,139,2021-03-25 14:59:46,0.500005,FALSE
"GME210326C00062000",62,122.6,0,0,0,24,23,2021-03-25 15:53:10,1e-05,TRUE,62,0.07,0,0,0,122,300,2021-03-25 15:09:51,0.500005,FALSE
"GME210326C00063000",63,109.65,0,0,0,16,17,2021-03-25 13:48:54,1e-05,TRUE,63,0.06,0,0,0,92,149,2021-03-25 15:59:20,0.500005,FALSE
"GME210326C00064000",64,117.05,0,0,0,33,14,2021-03-25 14:56:31,1e-05,TRUE,64,0.06,0,0,0,341,344,2021-03-25 15:58:46,0.500005,FALSE
"GME210326C00065000",65,117.25,0,0,0,66,130,2021-03-25 15:51:46,1e-05,TRUE,65,0.08,0,0,0,1127,2721,2021-03-25 15:59:30,0.500005,FALSE
"GME210326C00070000",70,112.25,0,0,0,25,70,2021-03-25 15:51:46,1e-05,TRUE,70,0.08,0,0,0,3140,4924,2021-03-25 15:59:34,0.500005,FALSE
"GME210326C00075000",75,104,0,0,0,38,111,2021-03-25 15:47:08,1e-05,TRUE,75,0.1,0,0,0,2930,2200,2021-03-25 15:55:14,0.500005,FALSE
"GME210326C00080000",80,99.05,0,0,0,30,181,2021-03-25 15:47:08,1e-05,TRUE,80,0.14,0,0,0,2954,4137,2021-03-25 15:58:53,0.500005,FALSE
"GME210326C00085000",85,101.95,0,0,0,28,52,2021-03-25 15:07:07,1e-05,TRUE,85,0.19,0,0,0,2504,1892,2021-03-25 15:39:56,0.500005,FALSE
"GME210326C00090000",90,95.83,0,0,0,29,185,2021-03-25 15:56:13,1e-05,TRUE,90,0.22,0,0,0,2171,2440,2021-03-25 15:58:14,0.500005,FALSE
"GME210326C00095000",95,87.65,0,0,0,31,150,2021-03-25 14:59:02,1e-05,TRUE,95,0.31,0,0,0,1196,754,2021-03-25 15:56:04,0.500005,FALSE
"GME210326C00097000",97,74,0,0,0,66,59,2021-03-25 13:45:29,1e-05,TRUE,97,0.25,0,0,0,194,347,2021-03-25 15:35:42,0.500005,FALSE
"GME210326C00097500",97.5,61,0,0,0,2,14,2021-03-25 12:43:50,1e-05,TRUE,97.5,0.35,0,0,0,230,207,2021-03-25 15:35:42,0.500005,FALSE
"GME210326C00098000",98,81.2,0,0,0,8,18,2021-03-25 15:08:28,1e-05,TRUE,98,0.31,0,0,0,99,125,2021-03-25 15:57:35,0.500005,FALSE
"GME210326C00098500",98.5,62.1,0,0,0,9,14,2021-03-25 12:23:40,1e-05,TRUE,98.5,0.44,0,0,0,31,50,2021-03-25 15:13:34,0.500005,FALSE
"GME210326C00099000",99,70.73,0,0,0,3,39,2021-03-25 13:37:37,1e-05,TRUE,99,0.35,0,0,0,157,176,2021-03-25 15:53:12,0.500005,FALSE
"GME210326C00099500",99.5,59.05,0,0,0,7,18,2021-03-25 11:28:11,1e-05,TRUE,99.5,0.36,0,0,0,211,196,2021-03-25 15:56:29,0.500005,FALSE
"GME210326C00100000",100,84.85,0,0,0,401,485,2021-03-25 15:45:53,1e-05,TRUE,100,0.36,0,0,0,14209,10432,2021-03-25 15:59:59,0.500005,FALSE
"GME210326C00101000",101,78.55,0,0,0,7,48,2021-03-25 15:07:07,1e-05,TRUE,101,0.43,0,0,0,113,460,2021-03-25 15:57:30,0.500005,FALSE
"GME210326C00102000",102,71.8,0,0,0,10,13,2021-03-25 14:53:51,1e-05,TRUE,102,0.38,0,0,0,90,106,2021-03-25 15:51:41,0.500005,FALSE
"GME210326C00103000",103,56.22,0,0,0,1,22,2021-03-15 15:08:58,1e-05,TRUE,103,0.42,0,0,0,148,61,2021-03-25 15:52:49,0.500005,FALSE
"GME210326C00104000",104,65.7,0,0,0,11,16,2021-03-25 14:08:41,1e-05,TRUE,104,0.42,0,0,0,193,118,2021-03-25 15:57:36,0.500005,FALSE
"GME210326C00105000",105,78.5,0,0,0,32,38,2021-03-25 15:28:28,1e-05,TRUE,105,0.39,0,0,0,1018,724,2021-03-25 15:58:11,0.500005,FALSE
"GME210326C00106000",106,68.4,0,0,0,7,14,2021-03-22 13:11:13,1e-05,TRUE,106,0.84,0,0,0,127,126,2021-03-25 15:05:23,0.500005,FALSE
"GME210326C00107000",107,53.48,0,0,0,4,19,2021-03-25 10:01:34,1e-05,TRUE,107,0.48,0,0,0,325,116,2021-03-25 15:54:26,0.500005,FALSE
"GME210326C00108000",108,75,0,0,0,12,30,2021-03-25 15:07:03,1e-05,TRUE,108,0.66,0,0,0,235,154,2021-03-25 15:23:40,0.500005,FALSE
"GME210326C00109000",109,68.35,0,0,0,10,13,2021-03-25 15:07:03,1e-05,TRUE,109,0.6,0,0,0,231,163,2021-03-25 15:59:58,0.500005,FALSE
"GME210326C00110000",110,74,0,0,0,151,139,2021-03-25 15:56:51,1e-05,TRUE,110,0.59,0,0,0,4163,1942,2021-03-25 15:57:49,0.500005,FALSE
"GME210326C00111000",111,63,0,0,0,4,11,2021-03-25 13:12:17,1e-05,TRUE,111,0.66,0,0,0,209,369,2021-03-25 15:44:58,0.500005,FALSE
"GME210326C00112000",112,63.8,0,0,0,6,10,2021-03-25 15:14:10,1e-05,TRUE,112,0.64,0,0,0,178,144,2021-03-25 15:56:03,0.500005,FALSE
"GME210326C00113000",113,66.5,0,0,0,4,23,2021-03-25 15:08:19,1e-05,TRUE,113,0.57,0,0,0,241,140,2021-03-25 15:56:03,0.500005,FALSE
"GME210326C00114000",114,48.05,0,0,0,3,25,2021-03-25 12:13:10,1e-05,TRUE,114,0.64,0,0,0,231,145,2021-03-25 15:57:36,0.500005,FALSE
"GME210326C00115000",115,62.58,0,0,0,151,146,2021-03-25 15:43:40,1e-05,TRUE,115,0.69,0,0,0,2495,1059,2021-03-25 15:59:22,0.500005,FALSE
"GME210326C00116000",116,62.95,0,0,0,11,8,2021-03-25 15:11:08,1e-05,TRUE,116,0.7,0,0,0,327,168,2021-03-25 15:57:38,0.500005,FALSE
"GME210326C00117000",117,49.35,0,0,0,13,11,2021-03-25 11:15:29,1e-05,TRUE,117,0.76,0,0,0,209,140,2021-03-25 15:56:42,0.500005,FALSE
"GME210326C00118000",118,66.4,0,0,0,31,18,2021-03-25 15:56:50,1e-05,TRUE,118,0.91,0,0,0,306,107,2021-03-25 15:36:29,0.500005,FALSE
"GME210326C00119000",119,59.95,0,0,0,24,22,2021-03-25 11:21:25,1e-05,TRUE,119,1,0,0,0,438,185,2021-03-25 15:44:56,0.500005,FALSE
"GME210326C00120000",120,68.9,0,0,0,626,251,2021-03-25 15:52:38,1e-05,TRUE,120,0.85,0,0,0,8121,4015,2021-03-25 15:59:53,0.500005,FALSE
"GME210326C00121000",121,56.9,0,0,0,102,53,2021-03-25 14:50:08,1e-05,TRUE,121,0.9,0,0,0,404,209,2021-03-25 15:58:21,0.500005,FALSE
"GME210326C00122000",122,62,0,0,0,93,17,2021-03-25 13:11:27,1e-05,TRUE,122,0.85,0,0,0,317,245,2021-03-25 15:48:20,0.500005,FALSE
"GME210326C00123000",123,60.68,0,0,0,93,33,2021-03-25 15:23:31,1e-05,TRUE,123,0.97,0,0,0,197,142,2021-03-25 15:54:09,0.500005,FALSE
"GME210326C00124000",124,61,0,0,0,130,53,2021-03-25 15:01:23,1e-05,TRUE,124,0.86,0,0,0,233,173,2021-03-25 15:58:30,0.500005,FALSE
"GME210326C00125000",125,56.07,0,0,0,679,275,2021-03-25 15:46:15,1e-05,TRUE,125,1.05,0,0,0,4910,1601,2021-03-25 15:59:46,1.000005,FALSE
"GME210326C00126000",126,59.8,0,0,0,144,30,2021-03-25 15:58:30,1e-05,TRUE,126,1.06,0,0,0,308,87,2021-03-25 15:59:55,1.000005,FALSE
"GME210326C00127000",127,46.5,0,0,0,99,27,2021-03-25 14:49:58,1e-05,TRUE,127,1.16,0,0,0,199,131,2021-03-25 15:49:30,1.000005,FALSE
"GME210326C00128000",128,56.45,0,0,0,140,19,2021-03-25 15:06:17,1e-05,TRUE,128,1.16,0,0,0,612,109,2021-03-25 15:57:39,0.500005,FALSE
"GME210326C00129000",129,51.93,0,0,0,120,49,2021-03-25 15:10:45,1e-05,TRUE,129,1.28,0,0,0,486,376,2021-03-25 15:59:46,0.500005,FALSE
"GME210326C00130000",130,54.31,0,0,0,2956,604,2021-03-25 15:53:05,1e-05,TRUE,130,1.3,0,0,0,6472,4245,2021-03-25 15:59:53,0.500005,FALSE
"GME210326C00131000",131,52.82,0,0,0,119,85,2021-03-25 15:27:10,1e-05,TRUE,131,1.5,0,0,0,458,251,2021-03-25 15:54:03,0.500005,FALSE
"GME210326C00132000",132,53.4,0,0,0,139,81,2021-03-25 15:51:46,1e-05,TRUE,132,1.54,0,0,0,195,106,2021-03-25 15:59:38,0.500005,FALSE
"GME210326C00133000",133,49.88,0,0,0,170,50,2021-03-25 15:19:03,1e-05,TRUE,133,1.39,0,0,0,322,169,2021-03-25 15:59:27,0.500005,FALSE
"GME210326C00134000",134,45,0,0,0,249,66,2021-03-25 13:47:45,1e-05,TRUE,134,1.52,0,0,0,475,220,2021-03-25 15:56:14,0.500005,FALSE
"GME210326C00135000",135,50.2,0,0,0,1288,437,2021-03-25 15:53:33,1e-05,TRUE,135,1.65,0,0,0,2161,1297,2021-03-25 15:58:17,0.500005,FALSE
"GME210326C00136000",136,52.35,0,0,0,153,57,2021-03-25 15:01:08,1e-05,TRUE,136,1.73,0,0,0,195,148,2021-03-25 15:58:15,0.500005,FALSE
"GME210326C00137000",137,48.61,0,0,0,845,240,2021-03-25 15:56:55,1e-05,TRUE,137,1.98,0,0,0,479,316,2021-03-25 15:58:15,0.500005,FALSE
"GME210326C00138000",138,41.3,0,0,0,177,117,2021-03-25 15:44:24,1e-05,TRUE,138,2,0,0,0,308,202,2021-03-25 15:59:33,0.500005,FALSE
"GME210326C00139000",139,42.35,0,0,0,119,18,2021-03-25 14:50:06,1e-05,TRUE,139,1.99,0,0,0,338,258,2021-03-25 15:54:34,0.500005,FALSE
"GME210326C00140000",140,45,0,0,0,3147,770,2021-03-25 15:59:49,1e-05,TRUE,140,2.05,0,0,0,5065,2287,2021-03-25 15:59:29,0.500005,FALSE
"GME210326C00141000",141,45.4,0,0,0,315,251,2021-03-25 15:57:07,1e-05,TRUE,141,2.2,0,0,0,272,169,2021-03-25 15:58:48,0.500005,FALSE
"GME210326C00142000",142,43.25,0,0,0,298,87,2021-03-25 15:52:39,1e-05,TRUE,142,2.39,0,0,0,489,287,2021-03-25 15:57:48,0.500005,FALSE
"GME210326C00143000",143,43.89,0,0,0,348,108,2021-03-25 15:05:40,1e-05,TRUE,143,2.54,0,0,0,274,130,2021-03-25 15:53:11,0.500005,FALSE
"GME210326C00144000",144,41.6,0,0,0,273,104,2021-03-25 15:56:13,1e-05,TRUE,144,2.68,0,0,0,408,181,2021-03-25 15:58:51,0.500005,FALSE
"GME210326C00145000",145,41,0,0,0,2270,457,2021-03-25 15:55:35,1e-05,TRUE,145,2.78,0,0,0,2379,822,2021-03-25 15:58:52,0.500005,FALSE
"GME210326C00150000",150,37,0,0,0,10379,1424,2021-03-25 15:59:57,1e-05,TRUE,150,3.6,0,0,0,9843,4013,2021-03-25 15:59:58,0.500005,FALSE
"GME210326C00155000",155,32.85,0,0,0,2557,611,2021-03-25 15:59:54,1e-05,TRUE,155,4.7,0,0,0,2489,641,2021-03-25 15:59:49,0.500005,FALSE
"GME210326C00160000",160,28.45,0,0,0,6568,1108,2021-03-25 15:59:58,1e-05,TRUE,160,5.92,0,0,0,3895,1497,2021-03-25 15:59:54,0.500005,FALSE
"GME210326C00165000",165,26,0,0,0,4040,727,2021-03-25 15:58:53,1e-05,TRUE,165,7.4,0,0,0,2318,746,2021-03-25 15:59:58,0.500005,FALSE
"GME210326C00170000",170,22.5,0,0,0,7650,1814,2021-03-25 15:59:48,1e-05,TRUE,170,9.4,0,0,0,2211,935,2021-03-25 15:59:59,0.500005,FALSE
"GME210326C00175000",175,19.71,0,0,0,6064,2147,2021-03-25 15:59:33,1e-05,TRUE,175,11.75,0,0,0,2095,983,2021-03-25 15:59:44,0.500005,FALSE
"GME210326C00180000",180,16.8,0,0,0,9438,1710,2021-03-25 15:59:59,1e-05,TRUE,180,14,0,0,0,1953,1167,2021-03-25 15:59:35,0.2500075,FALSE
"GME210326C00185000",185,14.45,0,0,0,3365,942,2021-03-25 15:59:58,1e-05,TRUE,185,17.7,0,0,0,282,372,2021-03-25 16:00:00,0.12500875,FALSE
"GME210326C00190000",190,12.7,0,0,0,4303,1387,2021-03-25 15:59:48,1e-05,TRUE,190,19.51,0,0,0,897,744,2021-03-25 15:59:30,0.062509375,FALSE
"GME210326C00195000",195,11,0,0,0,1710,713,2021-03-25 15:59:38,0.062509375,FALSE,195,22.83,0,0,0,259,367,2021-03-25 15:54:26,1e-05,TRUE
"GME210326C00200000",200,9.4,0,0,0,37218,6260,2021-03-25 15:59:59,0.2500075,FALSE,200,26.33,0,0,0,1010,1308,2021-03-25 15:59:12,1e-05,TRUE
"GME210326C00205000",205,8.07,0,0,0,2298,832,2021-03-25 15:59:31,0.2500075,FALSE,205,28.27,0,0,0,376,229,2021-03-25 15:27:19,1e-05,TRUE
"GME210326C00210000",210,6.9,0,0,0,2922,1343,2021-03-25 15:59:58,0.500005,FALSE,210,33.93,0,0,0,143,413,2021-03-25 15:58:57,1e-05,TRUE
"GME210326C00215000",215,5.91,0,0,0,1192,618,2021-03-25 15:59:33,0.500005,FALSE,215,36.9,0,0,0,33,113,2021-03-25 15:55:40,1e-05,TRUE
"GME210326C00220000",220,5.35,0,0,0,4179,1889,2021-03-25 15:59:52,0.500005,FALSE,220,42,0,0,0,111,161,2021-03-25 15:56:14,1e-05,TRUE
"GME210326C00225000",225,4.6,0,0,0,2882,1278,2021-03-25 15:59:58,0.500005,FALSE,225,60.75,0,0,0,7,117,2021-03-25 11:43:59,1e-05,TRUE
"GME210326C00230000",230,4.2,0,0,0,2187,956,2021-03-25 15:59:58,0.500005,FALSE,230,51,0,0,0,56,121,2021-03-25 15:56:51,1e-05,TRUE
"GME210326C00235000",235,4,0,0,0,1052,480,2021-03-25 15:59:21,0.500005,FALSE,235,55.56,0,0,0,28,142,2021-03-25 15:57:20,1e-05,TRUE
"GME210326C00240000",240,3.2,0,0,0,1913,1019,2021-03-25 15:58:29,0.500005,FALSE,240,59.55,0,0,0,25,81,2021-03-25 15:52:34,1e-05,TRUE
"GME210326C00242500",242.5,3.55,0,0,0,278,253,2021-03-25 15:57:49,0.500005,FALSE,242.5,81.8,0,0,0,12,26,2021-03-25 14:01:00,1e-05,TRUE
"GME210326C00245000",245,2.98,0,0,0,602,541,2021-03-25 15:59:55,0.500005,FALSE,245,66.95,0,0,0,12,41,2021-03-25 15:02:05,1e-05,TRUE
"GME210326C00247500",247.5,2.95,0,0,0,386,277,2021-03-25 15:59:21,0.500005,FALSE,247.5,69.5,0,0,0,7,34,2021-03-25 15:01:06,1e-05,TRUE
"GME210326C00250000",250,2.5,0,0,0,14972,5843,2021-03-25 15:59:55,0.500005,FALSE,250,71.81,0,0,0,99,213,2021-03-25 15:51:19,1e-05,TRUE
"GME210326C00252500",252.5,2.6,0,0,0,267,304,2021-03-25 15:59:43,0.500005,FALSE,252.5,107.95,0,0,0,3,16,2021-03-25 10:42:48,1e-05,TRUE
"GME210326C00255000",255,2.16,0,0,0,701,398,2021-03-25 15:59:55,0.500005,FALSE,255,92.45,0,0,0,7,24,2021-03-25 11:39:24,1e-05,TRUE
"GME210326C00257500",257.5,2.5,0,0,0,155,125,2021-03-25 15:48:52,0.500005,FALSE,257.5,99.37,0,0,0,12,22,2021-03-25 11:22:32,1e-05,TRUE
"GME210326C00260000",260,2.21,0,0,0,955,738,2021-03-25 15:59:31,0.500005,FALSE,260,108.8,0,0,0,6,84,2021-03-25 11:12:28,1e-05,TRUE
"GME210326C00262500",262.5,2.3,0,0,0,113,90,2021-03-25 15:57:51,0.500005,FALSE,262.5,141.75,0,0,0,7,9,2021-03-24 15:49:46,1e-05,TRUE
"GME210326C00265000",265,1.94,0,0,0,210,158,2021-03-25 15:59:33,0.500005,FALSE,265,140,0,0,0,10,31,2021-03-25 09:33:11,1e-05,TRUE
"GME210326C00267500",267.5,1.87,0,0,0,89,95,2021-03-25 15:56:59,0.500005,FALSE,267.5,110.5,0,0,0,14,28,2021-03-25 12:13:17,1e-05,TRUE
"GME210326C00270000",270,1.9,0,0,0,986,1535,2021-03-25 15:59:37,0.500005,FALSE,270,98.5,0,0,0,12,78,2021-03-25 14:52:40,1e-05,TRUE
"GME210326C00272500",272.5,1.62,0,0,0,126,101,2021-03-25 15:59:32,0.500005,FALSE,272.5,104.75,0,0,0,2,48,2021-03-25 13:12:38,1e-05,TRUE
"GME210326C00275000",275,1.7,0,0,0,627,580,2021-03-25 15:59:49,0.500005,FALSE,275,95,0,0,0,5,44,2021-03-24 15:34:53,1e-05,TRUE
"GME210326C00277500",277.5,1.53,0,0,0,240,193,2021-03-25 15:53:28,0.500005,FALSE,277.5,107.95,0,0,0,1,52,2021-03-25 13:45:32,1e-05,TRUE
"GME210326C00280000",280,1.7,0,0,0,458,594,2021-03-25 15:59:52,0.500005,FALSE,280,110.45,0,0,0,11,178,2021-03-25 13:45:32,1e-05,TRUE
"GME210326C00282500",282.5,1.25,0,0,0,57,67,2021-03-25 15:52:46,0.500005,FALSE,282.5,103.35,0,0,0,2,14,2021-03-25 15:07:10,1e-05,TRUE
"GME210326C00285000",285,1.42,0,0,0,237,161,2021-03-25 15:59:20,0.500005,FALSE,285,125.95,0,0,0,4,24,2021-03-25 11:14:07,1e-05,TRUE
"GME210326C00287500",287.5,1.49,0,0,0,66,80,2021-03-25 15:57:05,0.500005,FALSE,287.5,119.55,0,0,0,1,52,2021-03-22 12:43:09,1e-05,TRUE
"GME210326C00290000",290,1.38,0,0,0,286,335,2021-03-25 15:56:04,1.000005,FALSE,290,139.9,0,0,0,5,118,2021-03-24 10:34:48,1e-05,TRUE
"GME210326C00295000",295,1.28,0,0,0,241,364,2021-03-25 15:59:10,1.000005,FALSE,295,117.55,0,0,0,5,26,2021-03-25 15:38:48,1e-05,TRUE
"GME210326C00300000",300,0.98,0,0,0,11199,6090,2021-03-25 15:59:46,0.500005,FALSE,300,116.91,0,0,0,79,84,2021-03-25 15:54:15,1e-05,TRUE
"GME210326C00305000",305,1.11,0,0,0,297,263,2021-03-25 15:56:31,0.500005,FALSE,305,150.85,0,0,0,14,21,2021-03-25 12:30:36,1e-05,TRUE
"GME210326C00310000",310,1,0,0,0,239,538,2021-03-25 15:58:02,0.500005,FALSE,310,151.95,0,0,0,2,33,2021-03-25 12:16:22,1e-05,TRUE
"GME210326C00315000",315,1.04,0,0,0,300,307,2021-03-25 15:56:15,0.500005,FALSE,315,156.9,0,0,0,1,20,2021-03-25 12:16:22,1e-05,TRUE
"GME210326C00320000",320,0.91,0,0,0,525,475,2021-03-25 15:57:55,0.500005,FALSE,320,197.85,0,0,0,1,28,2021-03-24 12:22:36,1e-05,TRUE
"GME210326C00325000",325,0.72,0,0,0,324,577,2021-03-25 15:57:36,0.500005,FALSE,325,129.45,0,0,0,1,4,2021-03-22 09:42:17,1e-05,TRUE
"GME210326C00330000",330,0.67,0,0,0,314,629,2021-03-25 15:59:23,0.500005,FALSE,330,150,0,0,0,5,33,2021-03-25 15:07:10,1e-05,TRUE
"GME210326C00335000",335,0.78,0,0,0,134,174,2021-03-25 15:57:38,0.500005,FALSE,335,177.9,0,0,0,2,14,2021-03-25 12:39:11,1e-05,TRUE
"GME210326C00340000",340,0.55,0,0,0,212,920,2021-03-25 15:59:51,0.500005,FALSE,340,168.3,0,0,0,6,41,2021-03-25 13:39:38,1e-05,TRUE
